episode,reward,moving_average_100
719,-200.0,-182.37
720,-193.0,-182.3
721,-186.0,-182.16
722,-110.0,-181.66
723,-200.0,-181.66
724,-148.0,-181.14
725,-153.0,-180.67
726,-145.0,-180.12
727,-200.0,-180.33
728,-165.0,-179.98
729,-161.0,-179.59
730,-200.0,-179.83
731,-144.0,-179.27
732,-200.0,-179.27
733,-171.0,-178.98
734,-84.0,-177.82
735,-180.0,-177.62
736,-165.0,-177.27
737,-95.0,-176.22
738,-193.0,-176.38
739,-200.0,-176.38
740,-200.0,-176.38
741,-200.0,-176.38
742,-200.0,-176.38
743,-200.0,-176.38
744,-200.0,-176.8
745,-200.0,-176.8
746,-151.0,-176.44
747,-200.0,-176.44
748,-200.0,-176.51
749,-156.0,-176.76
750,-200.0,-176.78
751,-159.0,-176.37
752,-200.0,-176.71
753,-200.0,-176.71
754,-196.0,-176.67
755,-200.0,-177.08
756,-163.0,-176.88
757,-157.0,-177.56
758,-172.0,-177.28
759,-151.0,-177.33
760,-200.0,-177.33
761,-155.0,-177.17
762,-197.0,-177.14
763,-182.0,-177.43
764,-166.0,-177.09
765,-200.0,-177.48
766,-108.0,-176.75
767,-111.0,-175.86
768,-182.0,-175.68
769,-182.0,-175.7
770,-200.0,-175.7
771,-195.0,-175.99
772,-158.0,-176.11
773,-117.0,-175.3
774,-160.0,-175.13
775,-149.0,-174.62
776,-145.0,-174.21
777,-200.0,-174.82
778,-191.0,-174.73
779,-200.0,-174.83
780,-118.0,-174.01
781,-200.0,-174.11
782,-89.0,-173.23
783,-173.0,-172.96
784,-129.0,-172.72
785,-162.0,-172.34
786,-200.0,-172.83
787,-182.0,-172.85
788,-107.0,-171.92
789,-95.0,-170.87
790,-200.0,-170.87
791,-151.0,-170.59
792,-200.0,-170.59
793,-200.0,-170.59
794,-200.0,-170.59
795,-155.0,-170.79
796,-200.0,-170.79
797,-196.0,-171.16
798,-188.0,-171.04
799,-180.0,-171.31
800,-164.0,-170.95
801,-200.0,-171.14
802,-195.0,-171.27
803,-183.0,-171.85
804,-155.0,-171.4
805,-200.0,-171.78
806,-200.0,-172.23
807,-144.0,-172.08
808,-200.0,-172.55
809,-90.0,-171.45
810,-140.0,-170.85
811,-86.0,-170.28
812,-182.0,-170.74
813,-150.0,-170.24
814,-200.0,-170.24
815,-200.0,-170.24
816,-123.0,-170.11
817,-200.0,-170.58
818,-200.0,-171.33
819,-200.0,-171.33
820,-200.0,-171.4
821,-145.0,-170.99
822,-139.0,-171.28
823,-156.0,-170.84
824,-113.0,-170.49
825,-153.0,-170.49
826,-177.0,-170.81
827,-200.0,-170.81
828,-182.0,-170.98
829,-85.0,-170.22
830,-130.0,-169.52
831,-200.0,-170.08
832,-102.0,-169.1
833,-200.0,-169.39
834,-189.0,-170.44
835,-157.0,-170.21
836,-184.0,-170.4
837,-200.0,-171.45
838,-200.0,-171.52
839,-170.0,-171.22
840,-200.0,-171.22
841,-95.0,-170.17
842,-200.0,-170.17
843,-200.0,-170.17
844,-200.0,-170.17
845,-156.0,-169.73
846,-158.0,-169.8
847,-175.0,-169.55
848,-137.0,-168.92
849,-200.0,-169.36
850,-87.0,-168.23
851,-89.0,-167.53
852,-200.0,-167.53
853,-200.0,-167.53
854,-90.0,-166.47
855,-200.0,-166.47
856,-113.0,-165.97
857,-169.0,-166.09
858,-200.0,-166.37
859,-200.0,-166.86
860,-169.0,-166.55
861,-121.0,-166.21
862,-120.0,-165.44
863,-106.0,-164.68
864,-200.0,-165.02
865,-200.0,-165.02
866,-144.0,-165.38
867,-200.0,-166.27
868,-139.0,-165.84
